id,g,l,time_values,trajectory_values
28,9.81,4.633702212980944,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.4415955767608017,0.3255384723640254,-0.07944541414269213,-0.29640854338746814,-0.748048120165542,-0.4336551548397049,-0.2063546764399645,0.24547675437626826,0.5624989706928953,0.5500650518322429,0.42992332886035095,-0.027123350045497693,-0.2371297609825876,-0.722111671551895,-0.41663586815429604,0.028972962073146674,0.2095934758815722,0.6375371405690395,0.6962369792210178,0.3082586087679064,-0.17324227387273833"
29,9.81,3.314903025809588,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.577215297698832,0.30307306212612134,-0.17248779580327073,-0.547653896427768,-0.6036547918877236,-0.20254427701977515,0.30191677018884533,0.3759605598204466,0.47135183697501354,0.03156732657348473,-0.4219641118783738,-0.5864222272316538,-0.41941177824299686,0.2464809344737044,0.5366189865818419,0.48388102523003923,0.0962506431475763,-0.3509691887366642,-0.7043887913542795,-0.36557643964504116,-0.15065099613796534"
30,9.81,4.62705157646421,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.6646030660731583,0.4381849932948307,0.05734951419649975,-0.32119981337356285,-0.6571942014664837,-0.5749728090562737,-0.2126904572730092,0.2927984390341719,0.4447280761037504,0.6054581519113256,0.49873675413182234,-0.1265566315400135,-0.23090012388875925,-0.7320285274703927,-0.4374747151055301,-0.14835761485722349,0.2619068116698788,0.5549536706782484,0.6994461222546942,0.09399211365950391,-0.48326458557355234"
31,9.81,4.391106129921987,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.7584646347435262,0.4265259947549572,0.10942665766804482,-0.493482741431992,-0.536532694035606,-0.6080623891303455,-0.13296145117825955,0.4200377590214518,0.5742272687223122,0.5835421095327368,0.24036185147969585,-0.22408835122758863,-0.7865811916546342,-0.5130915322442703,-0.2467510960536347,0.125984879744151,0.3328004862394002,0.4417167769383877,0.4791254119767555,0.018982719294232633,-0.4929101691373554"
32,9.81,1.4816429296249458,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.6604326178710331,0.11699116236471238,-0.6374658675242416,-0.334318502955236,0.5144729566514157,-0.03692851313848311,-0.08275324129506628,-0.6218305378199693,0.06580077707983109,0.4615555145833825,0.32973319699770914,-0.42394010667019993,-0.7707945786844724,0.08660460507485415,0.6064890213679206,0.2193566199179089,-0.9523553582065392,-0.3736199397090795,0.5408917468637584,0.5586716783306584,-0.31480568566278755"
33,9.81,4.397573438322093,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.6444026913843293,0.4890899903851761,0.0073433804232255345,-0.4933325045926772,-0.5816073358728863,-0.5470819466900007,-0.06673754636942622,0.6392447038531557,0.784229703073725,0.4585325784643276,0.0178408405153635,-0.16420851611203585,-0.6385019567244915,-0.703761626811139,-0.2104222095369886,0.11766707585306249,0.5703265635312916,0.6046274705126262,0.43444531739150594,-0.020551522552602217,-0.5060997943995001"
34,9.81,3.788383713670642,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.6169094148928684,0.3826361762216296,0.039494386987593444,-0.3651883075413903,-0.6331952745861507,-0.500377484024184,0.036368081710926405,0.4906857342229478,0.7287474879444636,0.5318520205656614,-0.19245022182924454,-0.5045525855196894,-0.6949025528143316,-0.1460099958829975,-0.025981886090713252,0.33860364592542425,0.3612762870246533,0.3114350034594793,-0.32687882676432545,-0.6767864455679978,-0.6093775112115171"
35,9.81,1.7503938063451752,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.8421668389598816,0.4308526786997598,-0.7242942610605339,-0.5498967583858357,0.2729568985369816,0.433113413933806,0.34668508475854076,-0.5128231945954913,-0.5830990346465204,-0.0685258403177895,0.6957086622483035,0.2752669303462209,-0.27186719249790786,-0.6998225651979306,-0.06834265511998233,0.6922571573133047,0.36159012402020285,-0.25619263362488376,-0.5162163605426817,-0.10088306014584052,0.6631040541215303"
36,9.81,4.086695989325591,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.5710966759368594,0.34866382597983614,0.056120175601446116,-0.4299888870302365,-0.5475510666640072,-0.5002796256488286,-0.12518068897084514,0.4011749287701601,0.826597465487217,0.3404401608621968,0.0409379812205355,-0.5403103553662902,-0.6784371090769522,-0.5653237971421256,-0.1777985716165722,0.4601371458317794,0.6899705940974392,0.5724471539002519,0.1487448277610668,-0.24176409134705173,-0.7850736096960462"
37,9.81,4.393497707796814,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.526727369232413,0.5345401305383268,0.015136517643964786,-0.3580096052419637,-0.5860489738028647,-0.726661855190729,0.010804720255941896,0.39341692851852567,0.700796698600134,0.5572131244435646,0.24840182112554393,-0.20622975470758825,-0.6216162178411448,-0.5946416324163197,-0.18413563846931075,0.13621654238733177,0.7983539070964396,0.6795684285109759,0.3226076140343592,0.14217234454565608,-0.5341244320688517"
38,9.81,1.8474705303685577,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.7703765362331191,0.35061837220070513,-0.18969566183048997,-0.5501446194913564,-0.095216352079149,0.5990633731605797,0.3699642321595375,-0.2486897475576024,-0.6031787957158843,-0.1622467846230406,0.5697188130431396,0.6165176643289559,0.07383370743743078,-0.6057529004170376,-0.14157767639017274,0.28707383965933014,0.629305485921872,0.13312114515701434,-0.6391333991301116,-0.5144550912430336,0.10178150011822852"
39,9.81,2.8716893781363364,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.8461270753687169,0.34820891643362323,-0.12018554953860965,-0.6928242734761543,-0.4453234643059615,0.18589863395260567,0.4553796881986367,0.7298733099125182,0.26811565798432446,-0.4261807455386398,-0.6766297468698146,-0.3845574505977667,0.13947308956893906,0.5402136718889162,0.5320348559186899,0.12074182440209558,-0.6590118051533284,-0.6928223549950525,-0.19701748642517175,0.23631841865966868,0.6156604832332763"
40,9.81,0.8216906298052861,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.6633003407277738,-0.17889816513233203,-0.3639326119207931,0.8651700184424213,-0.10890787719403197,-0.3747880343450453,0.5224552175278289,0.035569672727647314,-0.6182355167538114,0.6404395083957216,0.10820444589360072,-0.5981119516770421,0.32160829717308836,0.23391321622017966,-0.562543388982718,-0.05604893378831469,0.417657811228916,-0.5486937202764669,0.11601415016572805,0.36681638295498015,-0.4607057669729236"
41,9.81,3.124572845679761,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.9416586241520053,0.5646061337979705,-0.2422916120725777,-0.5638687397003234,-0.393571620617297,-0.19885057544625243,0.3378425578466321,0.5306269380849158,0.5363872510925812,-0.48619077285289986,-0.5352552278032302,-0.6315869300237515,-0.20136582747394183,0.3915150397704707,0.5557167072781694,0.46685404932183405,-0.08574206653020494,-0.4663253054199046,-0.5569054515854529,-0.11632931321441985,0.5243560550243995"
42,9.81,1.570578798333279,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.8004236006843621,0.2204061520929943,-0.5903565301276793,-0.46007894689552004,0.47735083510185183,0.5006753714925023,-0.14474553401504453,-0.7591669447499738,-0.5945959321694858,0.4555016989505777,0.5500790638295551,-0.07713102856665867,-0.7588847435119536,-0.20805082627299526,0.582495218015944,0.5103616513461723,-0.3422983292959285,-0.665365605787789,0.030124755380398723,0.5720306387537933,0.26938587422664895"
43,9.81,3.942336407466418,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.46162063963089756,0.47425101405846215,0.08385162136441489,-0.43613205228094626,-0.5037941859371846,-0.5587037623359683,0.040567885993211816,0.4515651345813584,0.5903839016955015,0.6356805304165236,0.01736117680036879,-0.27184372857867445,-0.7027442491845254,-0.47114303835353444,0.01931364104004285,0.5116253988281978,0.5315574756343633,0.5245497633115245,0.1921822340557244,-0.2817689476866061,-0.4569364858544084"
44,9.81,1.2813423627893115,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.7042958095027372,0.07841717302685251,-0.5832014837297315,-0.025038932874291736,0.5100300351069915,0.294037091590363,-0.4904653449476468,-0.3069061577943196,0.4740204130434699,0.26068181477926666,-0.5503335970333686,-0.5250072482633594,0.22998174920174305,0.6580113957568631,-0.08388697016259629,-0.6854398167455166,-0.021312938918876756,0.563953765088289,0.014850092130675091,-0.6675399020229522,-0.1872988415500631"
45,9.81,1.907340153128451,"0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0","0.645444078674246,0.344137799456789,-0.42934087994812764,-0.6746307592585946,0.03373760918181537,0.6599644119778991,0.5612547322435764,-0.36089321297497234,-0.8138686141691072,-0.2734719808156822,0.20209037411234781,0.629902500795158,0.17532433200637132,-0.5989725199105529,-0.41875104618290593,0.06668303493148536,0.6461343264336705,0.4669711703741702,-0.5639723537153674,-0.7679586982892563,-0.11775906998786492"
