file,n_obs,t_baseline_days,P,K,e,omega_deg,msini,mstar,t_peri
synth_00044.npz,24,417.9093000004068,6.8500246,1710.0,0.34,37.0,,0.531,6.098401211981887
synth_00045.npz,29,2550.936900000088,40.87,3.17,0.07,8.0,0.05789287,1.126,9.283930847709229
synth_00046.npz,44,10.159900000318885,8.765528,2.8,0.0,90.0,,0.9698,5.462564365985556
synth_00047.npz,72,775.7690739999525,8500.0,89.0,0.37,38.0,,1.33,714.130420450271
synth_00048.npz,118,1076.0627649999224,492.3,8.79,0.096,314.0,0.33,0.961,409.91071388976775
synth_00049.npz,28,744.9494499997236,1.4520527,1.55,0.0,90.0,,0.6045,1.142908222554373
synth_00050.npz,17,2573.962799999863,45.791,3.33,0.12,215.3,0.05600478,0.95,10.960966164090271
synth_00051.npz,111,1968.6408219998702,2.18053332,184.0,0.03,73.0,,1.256,1.9112030697373101
synth_00052.npz,20,735.0319999996573,9.95581,117.3,0.101,2.37,,1.31,0.5830922265939019
synth_00053.npz,30,720.1207300000824,3700.0,110.7,0.487,185.6,8.29,1.18,1243.6331240189434
synth_00054.npz,139,6166.089680000208,433.8,42.0,0.079,360.0,1.964,1.41,65.19123273898118
synth_00055.npz,63,4194.6497000004165,8.1245,3.06,0.138,90.0,0.02800253,0.89,3.6587821843421318
synth_00056.npz,19,85.77539999969304,5.904137,3.48,0.0,90.0,,0.8889,4.701607588201215
synth_00057.npz,24,13.001265999861062,7.587266,1.114,0.0,90.0,,0.306,1.749943790463154
synth_00058.npz,23,2574.0136000001803,9.573083,2.7,0.0,90.0,,1.098,0.49800423285758155
synth_00059.npz,45,3644.906899999827,10.590547,15.7,0.13,92.0,,1.146,4.284425273566367
synth_00060.npz,18,712.1036999998614,3.332609,44.0,0.009,90.0,,1.336,0.661566358748945
synth_00061.npz,43,1065.091310000047,213.72,51.5,0.081,76.0,2.194,1.75,19.395740909718732
synth_00062.npz,72,766.8777200002223,0.9263237,2.25,0.0,90.0,,0.413,0.5375756430171676
synth_00063.npz,72,775.7690739999525,272.7,101.0,0.85,10.0,1.3,0.65,81.45443541972018
synth_00064.npz,25,2.471729999873787,3.55395,97.4,0.0,90.0,,1.08,2.3882361965130032
synth_00065.npz,100,1496.903099999763,21.269084,2.25,0.3,37.0,,1.0861,4.243510737057222
synth_00066.npz,28,1647.6683000000194,3.0876262,253.0,0.045,90.0,,0.655,2.9088931233633577
synth_00067.npz,98,2580.1055490002036,1.977143,21.44,0.0,90.0,,0.42,0.7218750133740851
synth_00068.npz,48,9.056950000114739,10.311767,1.02,0.092,90.0,,0.803,1.087842742528067
synth_00069.npz,56,5988.716169999912,18.85019,3.64,0.0,90.0,,0.606,11.858808187072313
synth_00070.npz,200,2485.088944000192,37.92548,3.0,0.0,90.0,,0.8889,35.162781459284346
synth_00071.npz,23,2421.220610000193,2.45946,1.814,0.549,330.575,0.011,0.94,1.083089996937282
synth_00072.npz,58,1582.7720569996163,10.70871,112.5,0.029,193.0,1.15,0.92,10.222432765690934
synth_00073.npz,82,6079.23693000013,4.301219,45.9,0.044,113.0,,0.942,2.150161371853767
synth_00074.npz,200,2471.328303999733,4.61442,56.0,0.0,90.0,,0.91,1.962183471076071
synth_00075.npz,200,1975.6453129998408,499.39999,69.2,0.34,90.0,2.95,1.25,309.73459173434514
synth_00076.npz,30,1115.018980000168,25.2,300.0,0.58,344.0,3.6,1.0,25.076431931930166
synth_00077.npz,20,938.2294999998994,433.70001,191.3,0.19,90.0,5.63,0.72,411.5568813099456
synth_00078.npz,28,766.0391899999231,2127.60566,171.084,0.357,21.038,,0.98,978.7946422495214
synth_00079.npz,123,4348.061500000302,5.59,1.17,0.42,112.0,0.00840076,0.9,4.235704245273349
synth_00080.npz,24,804.9263900001533,456.1,71.0,0.08,98.0,3.09,1.25,226.87449141190302
synth_00081.npz,26,1151.8335000001825,108.45299,9.826,0.13,89.593,0.26,1.21,57.405486416698736
synth_00082.npz,81,6063.5775100002065,4.35301,55.5,0.0,90.0,,0.72,3.4205330130642113
synth_00083.npz,45,3690.789150000084,5.70588,1.92,0.038,-25.0,,0.439,2.365976517721535
synth_00084.npz,53,2801.23794899974,3.583893,17.7,0.376,90.0,,1.056,2.6323105315486246
synth_00085.npz,43,401.9543000003323,393.1,28.84,0.0,90.0,0.9344665,0.853,279.55026533777067
synth_00086.npz,55,1450.9473999999464,109.75,287.0,0.395,211.7,,1.47,102.29355060581827
synth_00087.npz,31,2551.9576500002295,5219.681854,11.67149,0.015283,90.0,0.93944088,0.916,599.9117803687774
synth_00088.npz,29,1212.688099999912,4.8854892,42.9,0.0,90.0,,1.359,3.5615954811130455
synth_00089.npz,77,6166.097529999912,61.376,1.28,0.0,90.0,0.02126934,0.789,56.92157104326099
synth_00090.npz,59,4034.039850000292,4850.0,138.0,0.71,111.0,7.79,0.935,4694.442021134535
synth_00091.npz,21,564.6361459996551,2.85310198,3.15,0.25,90.0,,0.519,0.041958587815178944
synth_00092.npz,20,2525.1915099998005,21.05704,3.43,0.22,96.0,,1.091,18.1857039259047
synth_00093.npz,137,1528.8761999998242,20.2729914,80.0,0.063,137.0,,0.918,19.89175860898765
synth_00094.npz,15,1452.1186999999918,4.637038,51.0,0.581,90.0,,1.415,4.438619976842864
synth_00095.npz,21,2511.0481000002474,1.43263,3.23,0.0,90.0,0.00478245,0.137,0.2131237868446435
synth_00096.npz,54,2958.899670000188,1.79058695,277.0,0.05,23.8,,0.458,1.7415764612253628
synth_00097.npz,26,1886.9171549999155,5.70588,1.92,0.038,-25.0,,0.439,5.077865488674604
synth_00098.npz,59,4034.039850000292,50.77,1.7,0.0,90.0,0.01919275,0.495,41.751919224361686
synth_00099.npz,41,3330.9341000001878,46.859,3.34,0.138,173.0,,0.81,22.49175412171121
synth_00100.npz,98,2213.0737469997257,3.03007,115.2,0.0,90.0,,1.04,0.7041062126114653
synth_00101.npz,16,826.9228999996558,5.39792,3.6,0.06,90.0,0.02,0.65,4.328487213475128
synth_00102.npz,72,775.7690739999525,5.508023,27.1,0.084,120.0,,0.77,5.086825361281025
synth_00103.npz,200,5078.039458999876,1062.26506,328.305,0.63,249.249,,1.81,282.7008896643885
synth_00104.npz,17,2576.0055999998003,1.51214,1230.0,0.0,90.0,,1.13,0.8149442751418138
synth_00105.npz,31,2562.9272219999693,6.0881,125.8,0.09,90.0,0.98,0.82,2.695523498079845
synth_00106.npz,44,1565.9580000001006,12.904,1.05,0.082,330.8,0.01167297,1.0,12.013847445420824
synth_00107.npz,29,2552.957020000089,26.233,8.72,0.016,189.6,0.10420717,0.74,1.0627174866062057
synth_00108.npz,41,1740.2172999996692,9.3745,2.646,0.396,201.9,0.02271666,0.86,6.862192081182428
synth_00109.npz,30,1914.7390000000596,2058.0,38.29,0.359,283.903,1.78,0.71,1264.3801422210352
synth_00110.npz,95,5224.776229000185,2.724033,182.0,0.0,90.0,,2.03,0.0772681906262801
synth_00111.npz,18,2210.938000000082,10.8985,25.1,0.53,308.0,0.261,1.22,7.8384166941522295
synth_00112.npz,18,80.8902000002563,578.2,121.4,0.21,108.5,4.2,0.8,9.246418010529316
synth_00113.npz,200,2252.93542300025,4098.1,238.7581346651719,0.0,90.0,12.0,0.51,3106.159002756878
synth_00114.npz,35,386.97384199965745,2.24375,993.0,0.09,90.0,,1.62,1.1505023853192875
synth_00115.npz,16,3621.940700000152,257.8,1.47,0.32,90.0,0.03303653,0.681,239.5230681214682
synth_00116.npz,30,449.8299340000376,14.339156,1.93,0.08,135.0,,1.126,0.9475672293959966
synth_00117.npz,21,17.08169999998063,5370.0,26.0,0.17,123.0,2.03,0.874,4517.873791518498
synth_00118.npz,33,1293.6360069997609,94.44,19.23,0.04,-90.0,0.451,1.07,6.298204427965056
synth_00119.npz,67,5455.066579999868,5.59,1.17,0.42,112.0,0.00840076,0.9,1.9246927815150596
synth_00120.npz,111,324.2223500004038,9.6412,1.73,0.0,90.0,0.01610932,0.836,4.14859613445545
synth_00121.npz,34,2554.978200000245,514.0,33.0,0.41,149.0,1.14,0.96,496.5559095230121
synth_00122.npz,111,1968.6408219998702,1.9495378,3.13,0.0,90.0,,0.236,1.0960922287880133
synth_00123.npz,72,865.6983519997448,8.112245,12.5,0.36,90.0,,0.372,2.099973001627929
synth_00124.npz,25,738.0260000000708,11.681,1.411,0.093,96.0,0.01544859,0.98,2.8230140163360433
synth_00125.npz,63,3258.90914000012,3.792622,74.4,0.054,90.0,,0.612,3.36829708153506
synth_00126.npz,119,4361.976724999957,4.030467,49.0,0.0,90.0,,0.889,0.9103592775448881
synth_00127.npz,51,1953.8163999998942,25.1967,0.747,0.0,90.0,0.00905201,0.77,3.1383675565198876
synth_00128.npz,69,3326.910544999875,1.565409,7.0,0.0,90.0,,0.22,0.45135556199647503
synth_00129.npz,44,1565.9580000001006,2.484193,146.0,0.0,90.0,,1.14,1.4560428147463371
synth_00130.npz,27,1874.8628469998948,21.61389,38.53,0.428,295.0,,1.117,11.976051164017772
synth_00131.npz,64,2263.821076999884,7.148972,1895.9,0.0339,104.7,,1.334,5.788599665098722
synth_00132.npz,19,6167.0641800002195,15.532477,2.12,0.111,130.0,0.01290004,0.3527,8.705579833589185
synth_00133.npz,26,603.5751180001535,2.527093,5.67,0.3,90.0,,0.471,0.728867232040611
synth_00134.npz,44,2556.0183299998753,6.8500246,1710.0,0.34,37.0,,0.531,2.8283501046141453
synth_00135.npz,34,2554.978200000245,1675.0,326.0,0.6,65.0,17.0,1.14,1370.3526263762749
synth_00136.npz,39,1610.8188000000082,4.0782387,349.0,0.025,71.97,,1.35,2.555042900840334
synth_00137.npz,200,5457.0689099999145,34.369,2.03,0.14,-126.0,0.0189725,0.455,32.96253950186839
synth_00138.npz,31,322.0594000001438,1.44044527,837.1,0.009,90.0,,0.563,0.5321068366741473
synth_00139.npz,86,1136.1510760001838,2.616235,1.77,0.0,90.0,,0.313,1.44576157522866
synth_00140.npz,28,2521.965199999977,111.436765,469.22,0.93183,-58.887,,1.05,66.18499168297924
synth_00141.npz,70,1460.0976999998093,2.002849,384.0,0.0,90.0,,0.666,1.6989991982024955
synth_00142.npz,23,1209.7193999998271,1862.0,12.8,0.16,0.0,0.696,0.85,270.87172810332214
synth_00143.npz,29,433.93319999985397,1.8882378,1460.0,0.18,90.0,,1.78,0.7675881839385418
synth_00144.npz,50,867.803201999981,33.874,1.13,0.159,240.0,0.01623518,0.86,30.82394986734865
synth_00145.npz,88,419.07591000013053,133.40355,509.454,0.647,265.742,9.432,0.94,5.745275822452854
synth_00146.npz,21,536.6400699997321,3.6849729,20.7,0.14,276.0,0.174,1.201,3.031650347128642
synth_00147.npz,19,146.76072999974713,94.2,1.8,0.0,0.0,0.034,0.794,39.12917632036936
synth_00148.npz,32,1359.9294600002468,3.7521,63.4,0.0,90.0,,1.18,3.113507533161969
synth_00149.npz,118,166.6404760000296,1.645321,114.0,0.0,90.0,,1.156,0.01637844794201441
synth_00150.npz,15,358.0299999997951,31.1515,1.97,0.067,92.0,0.0296701,0.967,11.371735383406767
synth_00151.npz,25,2575.945900000166,4.11377,63.0,0.0,90.0,0.41,0.76,0.3234658879908943
synth_00152.npz,43,1264.7351299999282,8.59545,3.86,0.078,-28.0,,0.678,5.609515960172758
synth_00153.npz,23,722.9440299002454,49.41,0.39,0.23,7.45,0.0057578,0.783,13.53088396180412
synth_00154.npz,15,2521.969399999827,224.77833,22.2,0.176,-141.0,,1.118,157.94095901394877
synth_00155.npz,73,822.1295899995603,695.69,71.39,0.0826,11.3,1.688,0.402,656.5932147093432
synth_00156.npz,35,1821.0156000000425,434.5,75.8,0.2,211.99,2.89,1.02,55.10203093251215
synth_00157.npz,28,1647.6683000000194,2.34121,148.2,0.0,90.0,,1.43,2.024627592975246
synth_00158.npz,95,1976.7400000002235,22.26492,47.9,0.05724,90.0,,0.99,1.3239645782494078
synth_00159.npz,23,1209.7193999998271,4.20474,61.0,0.0,90.0,,1.09,1.6010409871151292
synth_00160.npz,139,6166.089680000208,6.790123,682.9,0.035,90.0,,1.512,2.9182187376120603
synth_00161.npz,22,2282.896594000049,7.3744897,5.1,0.03,170.0,,0.711,3.6050159479730497
synth_00162.npz,55,3172.274999999907,41.96797,0.83,0.059,164.0,,0.935,40.98014143314226
synth_00163.npz,24,392.01123999990523,29.65,1.01,0.096,90.0,0.01349785,0.821,22.99924372721921
synth_00164.npz,200,772.9633000004105,1.0376109,1.6,0.0,90.0,,1.0844,0.32047376610275885
synth_00165.npz,18,526.8769090003334,15.79,4.5,0.0,90.0,0.06292704,1.178,4.260722843057634
synth_00166.npz,24,515.8303999998607,3.06785234,109.0,0.002,94.0,,0.577,2.647925338123476
synth_00167.npz,29,778.0411219997332,2088.8,196.1,0.642,-30.1,9.89,1.07,1840.8744224144868
synth_00168.npz,32,3385.8029840001836,0.279221,2.69,0.0,90.0,,0.269,0.14259998118440217
synth_00169.npz,23,1209.7193999998271,9.62468,507.0,0.434,-1.9,,0.95,3.3137362358784723
synth_00170.npz,58,1582.7720569996163,4.640382,35.4,0.067,240.0,,0.886,4.616796553893656
synth_00171.npz,158,5841.869200000074,3.6127647,399.6,0.0,90.0,3.91,1.458,1.1414296878972758
synth_00172.npz,16,362.0337700000964,2.7858212,2.7,0.0,90.0,,1.408,0.5090040187160509
synth_00173.npz,21,707.0095399999991,491.54,47.9,0.23,41.83,2.3,1.38,432.60343054580244
synth_00174.npz,17,103.80670000007376,428.5,57.5,0.031,126.0,2.75,1.46,348.08571809067234
synth_00175.npz,144,4325.298168489244,439.29999,14.1,0.09,90.0,0.44,0.76,293.4038091886005
synth_00176.npz,29,2550.936900000088,5.340888,3.4,0.089,90.0,,0.79,5.118779864999282
synth_00177.npz,40,2944.017378000077,18144.76236,24.767,0.138,31.179,,1.14,16796.8710167435
synth_00178.npz,200,809.0263200001791,559.3,233.0,0.048,130.0,10.0,1.15,418.49538789667105
synth_00179.npz,16,1147.9715999998152,2840.0,475.6,0.8369,198.6,16.35,0.839,2444.392003115405
synth_00180.npz,21,1955.7999999998137,1.36414864,204.0,0.033,-100.0,,0.987,0.3371448896908361
synth_00181.npz,74,3652.108600000385,14.85888,7.3,0.0,90.0,,0.972,2.0987656394056002
synth_00182.npz,22,465.8064030003734,402.4,42.7,0.195,100.0,,1.57,269.6328881643302
synth_00183.npz,21,10.044379999861121,615.0,7.8,0.19,90.0,0.27,0.77,439.49040004267295
synth_00184.npz,52,1595.6599999996834,4343.5,90.43824580854285,0.0,90.0,4.2,0.44,725.5943961657993
synth_00185.npz,56,0.16312000015750527,1.527561,8.62,0.0,0.0,,0.419,0.6042378636613575
synth_00186.npz,42,3357.916222000029,1270.55195,30.023,0.752,336.427,,1.196,1156.5272387645525
synth_00187.npz,80,1984.7170000001788,6.90683,53.4,0.08,54.0,,1.53,3.8774996633389063
synth_00188.npz,15,4047.027370000258,4.2042001,102.8,0.092,90.0,,1.1955,2.431439911366627
synth_00189.npz,96,3332.926669999957,9.485236,1000.0,0.02,117.0,,0.644,1.8413667104955795
synth_00190.npz,21,436.92562999995425,1291.5646,1.65,0.11,-132.73,0.0922,1.095,679.3917151272465
synth_00191.npz,31,2211.7569999997504,5.1750073,81.0,0.061,121.0,,0.897,2.7087785353422205
synth_00192.npz,118,166.6404760000296,5387.0,19.9,0.196,89.0,,0.77,479.09629400666716
synth_00193.npz,200,3684.055910000112,1123.0,27.4,0.209,21.0,1.52,1.3,1102.721644381291
synth_00194.npz,22,2282.896594000049,4.0378962,59.1,0.09,-128.34,,1.0,2.3072361237770895
synth_00195.npz,28,1140.9583000000566,14010.2941,29.11,0.109,48.185,,0.94,89.790330979377
synth_00196.npz,41,2293.850700000301,4.153658,50.0,0.0,90.0,,1.08,3.209320535863445
synth_00197.npz,46,2225.965605000034,362.5,29.6,0.17,271.0,1.27,1.37,354.6213212670528
synth_00198.npz,74,3652.108600000385,7.29903,7.826,0.065,141.983,0.064,0.79,4.305479032815467
synth_00199.npz,29,433.93319999985397,3.53269,70.0,0.02,90.0,,1.46,1.1293361196794078
synth_00200.npz,61,1785.1314600002952,6.905,3.29,0.121,112.7,0.02246484,0.63,1.2947407771003547
synth_00201.npz,15,410.8739999998361,3.0766891,23.7,0.17,90.0,,0.166,2.069155364031722
synth_00202.npz,20,749.0001099999063,4.6455,1.89,0.0,90.0,0.013,0.772,0.9063714195310878
synth_00203.npz,17,707.3340900000185,7.713057,150.0,0.32,17.0,,1.094,4.455739643200122
synth_00204.npz,17,103.80670000007376,1.3373508,13.7,0.0,0.0,,0.75,0.8054050443226336
synth_00205.npz,44,771.9129999997094,1.6091788,194.0,0.057,90.0,,1.435,1.5487108380861796
synth_00206.npz,56,3149.272928999737,670.0,36.6,0.0,90.0,1.4,0.83,48.41772790501744
synth_00207.npz,20,415.80278000002727,3.21346,9.3,0.0,90.0,,1.223,1.6066426699140242
synth_00208.npz,17,184.80300000030547,1.22003,1.43,0.19,90.0,0.00560048,0.681,0.9078212476492094
synth_00209.npz,34,800.0745599996299,6.87188,252.0,0.03,90.0,,1.76,1.2178808933329983
synth_00210.npz,72,865.6983519997448,988.88112,190.0,0.92,82.4,,1.132,383.75186436181497
synth_00211.npz,23,839.8808600003831,5823.0,22.7,0.18,58.9,2.21,1.19,366.2404875032981
synth_00212.npz,21,1405.1162999998778,16.491,18.21,0.1,267.0,0.28880364,1.41,11.970501324526335
synth_00213.npz,43,1065.091310000047,3.8361623,18.7,0.0,90.0,,0.8712,0.3366918583374123
synth_00214.npz,28,804.8573400001042,2822.72698,100.067,0.115,315.896,,1.05,1115.2360247563265
synth_00215.npz,27,1874.8628469998948,1.580404531,14.38,0.0062,77.0,0.02646082,0.182,1.3805191241542465
synth_00216.npz,127,6167.035930000246,16.8124,2.84,0.0,90.0,0.03067693,0.789,7.940502181575893
synth_00217.npz,35,2307.7513590003364,653.9,76.2,0.479,64.6,,0.77,596.7634824077751
synth_00218.npz,63,4194.6497000004165,3.126089,149.0,0.0,90.0,0.961,0.85,2.3943250766751936
synth_00219.npz,30,720.1207300000824,3.98442,2.89,0.075,196.0,,1.019,3.647035093148522
synth_00220.npz,153,3277.007100000046,11.759,8.3,0.0,90.0,,0.91,1.4981319834060896
synth_00221.npz,24,224.59419999970123,144.3,42.7,0.09,166.0,1.98,2.42,10.615127239210203
synth_00222.npz,17,829.9180000000633,49.41,0.39,0.23,7.45,0.0057578,0.783,3.4748201888550643
synth_00223.npz,95,816.7536309999414,3.37796,102.0,0.233,90.0,,1.275,2.9349550521334704
synth_00224.npz,41,680.0663300002925,7600.0,2.5,0.27,-58.4,0.1132681,0.38,4818.931843040568
synth_00225.npz,47,4439.8991299998015,17.24,5.0,0.2,77.0,0.0696,1.2,8.560896001092225
synth_00226.npz,17,81.77910900022835,0.6047328,10.95,0.0,90.0,,0.604,0.09890006799806286
synth_00227.npz,42,846.6784100001678,10.77,3.92,0.33,-37.0,0.01258541,0.1774,7.256109124322737
synth_00228.npz,27,774.9306370001286,8.2148282,82.5,0.045,90.0,,1.42,2.6124582057659986
synth_00229.npz,31,1235.716000000015,5.101284,7.48,0.577,33.2,0.03382328,0.5271,3.6264000724007524
synth_00230.npz,37,3622.0702999997884,2.103189,146.0,0.011,90.0,,1.467,0.96821426376514
synth_00231.npz,15,3708.78582999995,3.65281514,74.5,0.023,287.0,0.569,1.012,1.8536935896907374
synth_00232.npz,24,2081.3287599999458,12.2737,2.78,0.04,62.0,0.02989019,0.917,9.69212030049271
synth_00233.npz,23,1166.9500000001863,149.4,273.3,0.445,-167.77,4.05,0.505,13.856174043193084
synth_00234.npz,30,720.1207300000824,1.8587033,2.6,0.0,90.0,,0.93,1.075740340030455
synth_00235.npz,86,980.2443000003695,3.52563254,188.0,0.22,90.0,,0.87,0.6953779482114992
synth_00236.npz,96,3332.926669999957,1.38665318,645.0,0.0,90.0,,1.05,1.120605396777155
synth_00237.npz,51,1772.123900000006,1.6753728,-404.0,0.0,90.0,,1.017,0.8189993523187794
synth_00238.npz,41,680.0663300002925,2.7886556,99.2,0.064,90.0,,0.6017,2.757130778090037
synth_00239.npz,25,2556.962499999907,305.5,350.2,0.031,137.4,20.6,2.3,55.88918568843207
synth_00240.npz,95,5224.776229000185,20.6532,61.06,0.149,58.73,0.85,1.08,19.889426904814513
synth_00241.npz,86,2721.6383500001393,3.036179,3.5,0.0,90.0,,0.22,2.43172748729329
synth_00242.npz,81,3461.5664499998093,22.6786,2.2,0.12,-91.04,0.0259,0.8,10.914314297631886
synth_00243.npz,57,1442.0168129997328,20.519617,2.32,0.0,90.0,,0.798,16.69340741341954
synth_00244.npz,26,1760.2483740001917,20.432,2.75,0.07,17.2,0.0299,0.77,12.317408831886489
synth_00245.npz,55,473.69499999983236,18.27,3.48,0.29,173.73,0.0303623,0.59,11.969061839122517
synth_00246.npz,56,2986.802799999714,511.21,45.48,0.16,291.68,2.18,1.37,467.0878548036443
synth_00247.npz,27,335.04171100025997,11.06201,3.5,0.0,90.0,,0.249,0.7220219990458695
synth_00248.npz,24,392.01123999990523,101.54,495.2,0.28,288.94,10.78,0.97,84.784702229936
synth_00249.npz,28,17.107529999688268,811.3,2.56,0.089,-10.8862,0.0991,0.785167,309.76633098660955
synth_00250.npz,16,2574.980900000315,13.5052,1.49,0.305,90.0,0.01758802,1.02,4.396558654563234
synth_00251.npz,28,590.7097999998368,5370.0,26.0,0.17,123.0,2.03,0.874,5337.923761397616
synth_00252.npz,42,3419.7494700001553,2.499387,103.0,0.164,-146.0,,1.07,1.9524973854131726
synth_00253.npz,24,1208.6984999999404,1039.15,73.89,0.197,241.889,3.532,0.968,504.54383946280865
synth_00254.npz,52,1595.6599999996834,2.7667641,158.0,0.142,90.0,,0.967,1.169313074868653
synth_00255.npz,54,1298.6104999999516,4.7228124,399.0,0.079,56.0,,0.759,4.144404398009751
synth_00256.npz,41,3237.1162849999964,1.38665318,645.0,0.0,90.0,,1.05,0.1203821186280766
synth_00257.npz,35,3401.768880000338,20324.58153,191.439,0.565,240.318,,1.15,14398.31478227712
synth_00258.npz,15,3987.0305599998683,1818.0,22.6,0.2,280.0,0.93,0.585,1434.6831058959554
synth_00259.npz,24,346.94951000018045,3.007812,414.0,0.089,90.0,,1.21,2.4038324612666866
synth_00260.npz,48,2825.001649999991,50.790391,90.4,0.0323,305.0,,1.129,16.36906876364543
synth_00261.npz,70,2036.5989999999983,6.71837,14.0,0.0,90.0,,1.08,5.352116786185611
synth_00262.npz,54,2686.7478710003197,29.090312,59.82,0.044,-53.0,,0.632,6.554874676636964
synth_00263.npz,69,3333.8262000000104,18.1991,22.4,0.399,155.5,0.329,1.38,6.593678621663722
synth_00264.npz,20,2952.8144800001755,86.67856,50.0,0.2,4.35,,0.98,36.18380124059407
synth_00265.npz,19,85.77539999969304,1.44044527,837.1,0.009,90.0,,0.563,0.779871450050848
synth_00266.npz,29,778.0411219997332,1313.0,11.8,0.15,61.0,0.68,1.13,147.86174285475158
synth_00267.npz,50,1050.1698980000801,121.54,2.27,0.23,3.9,0.022,0.281,49.46043568970127
synth_00268.npz,29,955.1699999999255,16.432,2.12,0.0,90.0,0.02517081,0.9342,0.004940939836957213
